,name,price,review_cnt,link
0,해남 꿀 고구마 3kg 5kg 호박고구마 베니하루카,"5,900원","296,715",https://cr.shopping.naver.com/adcr.nhn?x=m%2Bho%2BcSLclnCLNpmZaowPf%2F%2F%2Fw%3D%3Dsf0tIK%2FR68qydE%2FXRro4YkufvpT5GqWv86%2F9hE%2BMxcDnrmbZKMw7CgD%2FASNNyGHGfdKwlGtALVKKhbroZzCu5IDUV0o24fm3o7k3gFsn6WYEOUq6St5sBCAlCeNbBB22ldju2F758qnxVfmwif9ymtruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFFzRT%2FZRGNmcLMzStwg7h9nNCZnOsN%2BPpvk%2BYBjNPfgQLDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqshTsb3oRSd5VRCbiryrw8XHGK1T3YKXtfZ7eVey%2FAxJn4nFTSmHzBKpJIWWJ5tsWDUA0g6q2BIcT3Q190wRK5bN81WjUpxJVJrN5mDsz4BpldkXQWzh0EMcL%2B8QxXPauOE6kG294VqIzLs2nk7OnFHzUJGwJ7WGfwHxyOhJuCjhkgTbxA%2B2F6iCNKm59ytDuImiQyMfESc%2Bzpi%2FnXGIZOlDcQ1gVwqnfwPvZvxBqa9nsQocLEGGa0wsleHc2pFkrWMsJxlwBSQV10en6%2BiWzGKvysSkPzXn39oElzxvj7%2Bukgdv%2BEqUupMGQMlX1XJ08oVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=8016453163&catId=50002214
1,해남 꿀 고구마 3kg 5kg 베니하루카 황금호박고구마,"5,700원","248,342",https://cr.shopping.naver.com/adcr.nhn?x=7khkl9k2un1T7iud7y2LRv%2F%2F%2Fw%3D%3Dss2e7q1oF1skQs3BhOGiQV3%2BM8Bf7DFhAhNLNBE8lYrWL00Wmf%2Bc%2FkOFzXHXxNt3O%2FNzUwMzBfEvQAnE0B%2B2mujgIY%2Bss5odvZXIbxHGMy7aRYi9jCNV3%2BKY%2F0962i7KRCHcixwFyLu1AAoX9yBHc00S%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOvJyAJVkRRiWZ87979vRffJdspwlQK6K894hEccU8rrpD4P%2Bj2CVvS6QkrpszyaIoCuwrUM2Vi5bq9fxYHuPhKeBMpMsAcDC9kpflhX39ouNmox%2F2qd5kceblKnZOjtb5MVMhB95kr9tqBhrcVhp3rz8dBnXFtRSFUBl0x7gufh9uEL5Q0J5OO1EpzOKusV0oqipbYJhQ6dehjw5pZB%2F9C%2Bt6uE4DCLRHi%2BstEGuaP8%2BOjGGuKRqU4pS6L9TfbACBj9KZQ2BCNDCc0xzhpWBt9O%2FteXacUTXoDlrHzyzZFlCaDIT499IAoFkWlQcrq5Ms%2FtN2P1eW6d7NTRMWaS5gdn3PwRfupCzWRTKfRKhpgZTCMoo4DSeuzaCm9kh%2FZAtnOgDC2iH5y9b7XsAgfJ0TpPOnrjhZamMRlt8bZs%2B%2BsbENUJgJp6CUXauCvW7Y5AjN&nvMid=81999320307&catId=50002214
2,김의준 세척 꿀고구마,"18,900원","150,480",https://cr.shopping.naver.com/adcr.nhn?x=MwT76DqtPrBG0y6T1Fihr%2F%2F%2F%2Fw%3D%3DsDkddQu%2Bq3F8CANDuqLrDIqh1DqPhqRMmDTGA1J2SzHKFIIrWPZ%2Fkx9WnOlT%2BPnWHeZlzNSH4weCLlx3BkxgRBL925Ta5cxwnm5U4pwh%2FeMimIgtdufjquwEJCtfC37Hx8ErwUkk0cTKp4n%2FKBuvFkea0O2TX7GIDZW3de8vjU8xOLgJtxrUkYExwHZ8zcYnFR2q4rkDCoZPQClhPUWZ0JmKFBRk6xN22SElkAFgKVWk%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSegGgdKPzcWIUct3GGnQU1szaocaPDdiZIg%2B9yMRDkHuUi6BVfkak1zGtxHB8qyfrOxPJyeXlYJmlSSCX65bKQR9vIMwaDjRALGjND4RDcCA16ykgu40maWtaa8TEBZV1JY6QYiyfO0Vq62tmR6v6jNs8JMW11a7wnmO4m%2Ff4FlmrUBK%2FhIWhzF5xGcn8DBG09HvJEjntGCkjvhDN6olz8XQPhzrZkyyZYtPKjK6rC8AS4jGoapOhFlLx7nRfJS0jKsXuhA491GFaimGThs20PyRB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=9048133927&catId=50002214
3,영암 세척 무농약 꿀 고구마 3kg 5kg 황금호박고구마 베니하루카,"13,900원","148,252",https://cr.shopping.naver.com/adcr.nhn?x=jOCGkCOPT5xaKR9RwI6Oxf%2F%2F%2Fw%3D%3Dsv7ddMk7i8Npn3fH2pA1V9upAT359v%2Fc3h7WWtlQRr1WL00Wmf%2Bc%2FkOFzXHXxNt3O%2BF2dt9J2J%2Fe2wzPfFlTK4DgIY%2Bss5odvZXIbxHGMy7aRYi9jCNV3%2BKY%2F0962i7KRCHcixwFyLu1AAoX9yBHc00S%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOMKo4Mze9nJNrlvVhbTYS3n21pkdCUv3DPdnYRpc5gsLL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGAQOaRLrIa152%2Fbo9%2FLEH3FO0bObvsQ5P6pk2hcJLKc9CrWiB%2BpqbZ1Im%2BeQXmLLDPqhzWgKdPphMMWlxN5klsLS09kVQ7qnPoUVh%2BQr6LORuQEMQ6r6rSaSwYWc%2BIFTWia2LcIvnKMf0MVkTNGNWAzrerhOAwi0R4vrLRBrmj%2FPj9KZQ2BCNDCc0xzhpWBt9Gkk%2BsU48p2kwVlC28s7lK222SZwSR8Lv7O0co07execBL2EyinyCAxpNtrb5XEWQoc8ziRw90UQaafm0mtaxZiftk29jDDmJ5PiFsFlFl0xsF8gTae%2FJuFRL3SWMr1I%2FlJKnYcH37qt2p2jKzO61946HJZQgjI8VSlbO1R88zJ2DVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=10480610461&catId=50002214
4,해남 꿀 밤 호박고구마 3kg 5kg 10kg,"5,900원","109,615",https://cr.shopping.naver.com/adcr.nhn?x=mUV0UI7yii0%2FonCwY5WzFf%2F%2F%2Fw%3D%3DsSoIdCcC4%2FMRyDAAUmRNOujDUr8W5dd8NiKEtBJ1%2FB99VcWKdXUnFrQ%2B8ykSAd8keR3kCeeuJC9zUDZx9rsQlXh3RN%2F1FQBYuIz2IU%2FrLnpD%2FblhgiMoaCMF5aeT9i4W73JuWie5uliVhqY9MWrb6gLzg5LotibZWs96FaOW7%2BneOP0oYFbr1kQPfR4PYNcaQ5PGE%2FXknrU4286fy5d6CZ03PL5Eyd9e3lhcms%2BrSSImAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FZ%2BoPc4tENN9Dyh%2BVvp802NyT6XyRWijdBG%2FXGb8HhoTmSCJVA5iDw%2Fewge6rONGG6dloN64tFS1GCFg0gQR9GjqbPnowaWHl5EI43Qf6nt9QhXt8H98ANLWJ%2FfAX4wYDEcm%2BgKpEVFAgwarG3BzdnvFso%2Bn5ye2cT2V8vccrp%2FrCewDb3z5FggHSpW5CufOZg19zjLCYaDReHBUBSMstA17yRI57RgpI74QzeqJc%2FF05jwmjUI06U4TPt8UrRoUvNpM%2FlcUEbhpOSzCxgX8xC3F7oQOPdRhWophk4bNtD8kQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=9270155631&catId=50002214
5,늘찬 품질좋은 촉촉달콤 꿀고구마 호박고구마,"18,900원","95,552",https://cr.shopping.naver.com/adcr.nhn?x=pFl0eDXpg7JoFrfu6lGhiP%2F%2F%2Fw%3D%3DsOIOTaL1w4Ci3lcgNEeu2T2HA%2Bqt10LwwK09u5GI2PATrmbZKMw7CgD%2FASNNyGHGfmMt7VIQHYCqGqFWWWf1omzUV0o24fm3o7k3gFsn6WYEOUq6St5sBCAlCeNbBB22la5XTHoplrhBZDWV6OBivVJxspcflZYjogUa%2BtzON8Ln2UH1RiEW6vY1FWnWOVWrQbcNEQYwLfgiF%2F1%2FPSA5QbRQT4M3KDI5GE76VhjjYT4NihQUZOsTdtkhJZABYClVpP2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnqUnY8fw4nkXdWd6gnAWSbV%2B7jB1VhXzkM0R6YdA6grP%2FQufP%2FOSgTQ0JckBpz05iRWvQEWBjJ7im0wBAJPqDGmwTWKXq%2BdMMKeXHmUD%2BrZuJC5vb0PTBAzE2yVWLaXxBADVKKP84W2tzCGI%2FziaKY6c%2B5aKmXqRPCr8qJEGcn8ua%2FeruL0QvbqXYjhMwgHB1b1F7TOhxRUapmEd38inphPB8h4k%2BULi6dRb12rCJoNYi6CIOHlLyf7tFzQx427OB1BSj6XhsDUMM7Q2CuXubbD7%2BARFxkn%2FrFRD8FnsEGPY8cgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=6976052692&catId=50002214
6,유기스토어 고구마 24만개판매 22년 밤고구마 10kg 한입/소,"15,540원","76,099",https://cr.shopping.naver.com/adcr.nhn?x=PLnUIcbuWWfoVCp%2FZVY4Kf%2F%2F%2Fw%3D%3DsJ2LiPeg%2BjIN9jdKNAa%2BkcXDCtSS7colJ6bpWJE3ve7eFIIrWPZ%2Fkx9WnOlT%2BPnWHdTxPZwiglJ%2BRgqW%2BraiiWb925Ta5cxwnm5U4pwh%2FeMimIgtdufjquwEJCtfC37HxWdRgRf39GGJh8IEcoL8rUOJcED6SHuof75F25EGGuY%2FaLxyhUoBZHPPGG9Uk3m5cBv4kMhPbi0AO6urvTSUmQ2EYgqYu%2BNp%2B28JU1V0Ovcc0tsBRn069AZ%2Fae33p%2Fu0awc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhZ%2BJ5Cma52aKhxCS6%2FIbAogboS7J91cNhO2mZjHg8zmwV36ogsAbT2GMBHUreotiQFpVNaJRbdI8q%2FMC6bfZaFNDQIDsR4NK2PC3N16L05XWGKO8feaSa5xkuAszdBH4iKbQduvsdOYSehQZpuU%2F%2FWhRwwMNhV8qP4S12LVovDOw08ygvI%2B6jkMQl9Ti1h2niKyn%2FIX0%2BmMzClr1SFGYz6ndInrm2gUan9cM6Kya%2F%2BSxJCIilPAPhoMoUBGiLtEFiTYhYCKekPCDvbTMF%2FwJQpfV3lzd6iE9c8ZC68Dz%2FkTjSmAr9gi%2FXJIPoWIwkn42%2FiJSaj%2FU%2BKtSaVa4Oo6ZdmZB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=4138338257&catId=50002214
7,[KF365] 밤고구마 800g,"3,680원","68,494",https://cr.shopping.naver.com/adcr.nhn?x=T5N19RJtgW3GgDnAKZQ%2FoP%2F%2F%2Fw%3D%3DsmHkVwSjDuaFmTqkRRJe8G5iq%2BW4Uwijg2gjRSde8hkpVcWKdXUnFrQ%2B8ykSAd8keGiCR1VnwEt%2BBwWQ3GLwyMuiRb%2B4thYRdIMQBli7MDWEWmgpjZzgPrIJ1ePp1m4vyDK5BowCH4wp5PuiKsO4fYN%2FQNDC%2FzXyN7BJBSNYy07Kl1VexyZHsOtZBGkx2SeYuYonBMSoydLzsw1McsMcQrytGI%2FXv6BXe0%2F1tMxbTjfD0CKpw9QKXBYbAlsmcuF6mrdpk31wlsFRhxaqNef217KuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJuyhbdNY4%2BQGehyujhlkTZrvSaH8eG%2FmZCDyaGI2fdJJ%2FlLnJwMa7Bt8R2%2FUDqQrCI7Y3wMHyuAHTMYtSVbvGE2kNNSy29aK6dduJodE4kgEBhRY%2FtXmJjWF%2BoM7Ou8t4kFhdCzjIH%2FrWuDbVaKHaVd0ieubaBRqf1wzorJr%2F5LG9IfE%2Fr0TYY9IbRQJxl9u0sQocLEGGa0wsleHc2pFkrWmT9MvJrBUVrWUsyAWLj4yPXWMgA16NVpl%2FayjZyS8jA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=33653841100&catId=50002214
8,[KF365] 호박고구마 800g,"5,780원","61,696",https://cr.shopping.naver.com/adcr.nhn?x=5uHMtH66I5DVM%2F%2FNpHeA4f%2F%2F%2Fw%3D%3DsqVtc08bp%2Fd%2FQ8x8zarJxfv1cTBr1D0Vk16E1yUHDVCSL00Wmf%2Bc%2FkOFzXHXxNt3OrygohzGKTzf2ITg69ajpkTgIY%2Bss5odvZXIbxHGMy7aRYi9jCNV3%2BKY%2F0962i7KRCHcixwFyLu1AAoX9yBHc01pI56%2FQgIaNUaSfm38ITtFtzqEcAT1wBCoCYkIMEXyAv3hjQnb4VHCucXn3yGZsfUHHHOAKBSckYs0ssWkcVPs%2FTRq8ra%2F7wVbdX9zrKaqaVuktKmPfUIGLyxjgIDlc32QvU3gLe1EA%2BUD0H0Ez41Vr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu41AI02jrKJp0mLsHyBYPKBC%2FYE6cSj%2BL9ibBym5WFcdi6BVfkak1zGtxHB8qyfrOz%2B9fEL2WUIK846rlyy1EffuZlGuUavz6kPlh8nC4hBZiF%2F4Akv6ohAUanGG5iMyHFkO0tDHSwXkL9Vv4bE33QcYuNwhXTfVwxKLqgVxFuK6nmqnDecSvGHLprBQAXEIFo8GKY8NnA621mNyvBRyVn2rXlPnCHQ6BU7Hp3SJXgfolk3woN22EUja%2BFHDh2WDectVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=33653897685&catId=50002214
9,꿀고구마 베니하루카 고구마 5kg 한입 17만개판매 품질만족,"9,470원","61,508",https://cr.shopping.naver.com/adcr.nhn?x=31PfECIHTgPP1Vcb9QqVK%2F%2F%2F%2Fw%3D%3DsDJvIEubyMgi6TofQ0V4GrSXsN42oR7VtZKsfgePt8s7rmbZKMw7CgD%2FASNNyGHGfLvPs6JJc9kBXD6QbchsceLr%2BlkJy7IeZSoSC%2FpJ3YsmsQKOBz%2BW%2B8t8izgFpkJFyaYiJZTMTdyC21iF2rMKt1aTpxbfoHADdec3ikk1uWQJ0tcNCFPkWS7FzyCZSjkIJSLWaDilY6hqTULNGDtjRUrp58bXuNRI5kzWqvyN4jk4yoUZqtECfawESP%2BF2hrT4pOr9sPYwajBkeE07IGGkJ5SCPsmGKllbt0kl8XIxCXTNucFPjS3JxP6QB%2F%2FquVB1hqQvwmR%2FqlT0jQuNbOPrwliJDgcH6X8rYtad%2B0Hgccy7fojyDtP3zm%2F5RlcVrgC73ckq4pCQO5VmMH%2B0FGG4HJhtgFuMVvKghW3Q2Tgx%2BX5jj0Yj6fM6tUH58KVzelKcDCmFriLP8bXAiNyy73iFEsutzwgV48nvr6IwMKSKyN%2Ffhyr91SeAmtOwhx48SO0wckC3ZHxmDZFKhDrHKyLhrmptx3Vk%2Fd6jOaS7EVRSxXHL07boOLwoxL6IajskM%2BfZN7qq5Mv7fB87P%2BVB5MihW7W0Rfr%2FSclJd4wplEe%2Bd9PNjqh%2FZemCCOboDhnweAmG&nvMid=29944940327&catId=50002214
